Producto;Numero de articulo;Descripcion
LAGRICEL PF;41582;LAGRICEL OFTENO LIBRE DE CONSERVADORES (PF) 10 ML
ELIPTIC PF;41561;ELIPTIC OFTENO 5ML PF PERU
LAGRICEL;40515;LAGRICEL OFTENO 0.5 ML
FLUMETOL NF;40513;FLUMETOL NF OFTENO 5ML
TRAZIDEX O;40341;TRAZIDEX OFTENO 5 ML.
TRAZIDEX U;40342;TRAZIDEX UNGENA 3.5 G
SOPHIPREN;40338;SOPHIPREN OFTENO 5 ML
GAAP;40498;GAAP OFTENO 3 ML
AQUADRAN;41945;AQUADRAN 10G
GAAP PF;41567;GAAP OFTENO LIBRE DE CONSER PF 3 ML PERU
ZEBESTEN;41604;ZEBESTEN 5ML PERU
LANDAX;41804;LANDAX 5ML
ELAR-B;42098;ELAR-B 5 ML
DUSTALOX;41121;DUSTALOX 5ML
ELIPTIC;41076;ELIPTIC OFTENO 5ML
AGGLAD;40351;AGGLAD OFTENO 5 ML
