vendedor,cliente,producto,mes_num,mes_abbr,monto_cancelado,cantidad,zona_code,zona,is_return,is_payment_only,is_purchase,is_credit_delivery,sku,descripcion,mes_nombre,pct,py24,tgt,venta,cliente_id,producto_id
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,GAAP PF,1,ENE,540.93,6,Z1,LIMA,False,False,True,False,41567.0,GAAP OFTENO LIBRE DE CONSER PF 3 ML PERU,ENERO,1.0,67726.3,99013.28,99013.28,0,8
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,1,ENE,340.83,6,Z1,LIMA,False,False,True,False,41582.0,LAGRICEL OFTENO LIBRE DE CONSERVADORES (PF) 10 ML,ENERO,1.0,241357.65,244552.3,244552.3,0,10
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,1,ENE,254.1,6,Z1,LIMA,False,False,True,False,40338.0,SOPHIPREN OFTENO 5 ML,ENERO,1.0,41450.28,50525.9,50525.9,0,12
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ZEBESTEN,1,ENE,294.53,6,Z1,LIMA,False,False,True,False,41604.0,ZEBESTEN 5ML PERU,ENERO,1.0,31496.43,43862.02,43862.02,0,15
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,2,FEB,340.83,6,Z1,LIMA,False,False,True,False,41582.0,LAGRICEL OFTENO LIBRE DE CONSERVADORES (PF) 10 ML,FEBRERO,1.01762066,244371.43,248182.4906,252555.63,0,10
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,2,FEB,508.2,12,Z1,LIMA,False,False,True,False,40338.0,SOPHIPREN OFTENO 5 ML,FEBRERO,1.300787434,39394.05,56555.62783,73566.85,0,12
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ZEBESTEN,2,FEB,589.05,12,Z1,LIMA,False,False,True,False,41604.0,ZEBESTEN 5ML PERU,FEBRERO,0.998966691,24271.56,27459.43408,27431.06,0,15
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ELIPTIC PF,3,MAR,360.57,12,Z1,LIMA,False,False,True,False,41561.0,ELIPTIC OFTENO 5ML PF PERU,MARZO,0.543724406,16081.78,70691.40098,38436.64,0,5
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,3,MAR,681.66,12,Z1,LIMA,False,False,True,False,41582.0,LAGRICEL OFTENO LIBRE DE CONSERVADORES (PF) 10 ML,MARZO,1.041573922,244371.43,248182.4906,258500.41,0,10
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,3,MAR,508.2,12,Z1,LIMA,False,False,True,False,40338.0,SOPHIPREN OFTENO 5 ML,MARZO,1.018181783,39394.05,56555.62783,57583.91,0,12
