vendedor,cliente,producto,mes_num,mes_abbr,monto_cancelado,cantidad,zona_code,zona,is_return,is_payment_only,is_purchase,is_credit_delivery
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,GAAP PF,1,ENE,540.93,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,1,ENE,340.83,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,1,ENE,254.1,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ZEBESTEN,1,ENE,294.53,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,2,FEB,340.83,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,2,FEB,508.2,12,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ZEBESTEN,2,FEB,589.05,12,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ELIPTIC PF,3,MAR,360.57,12,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,3,MAR,681.66,12,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,3,MAR,508.2,12,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,AGGLAD,4,ABR,367.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ELIPTIC PF,4,ABR,180.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,GAAP PF,4,ABR,541.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,4,ABR,341.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,4,ABR,254.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,ZEBESTEN,4,ABR,295.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,GAAP PF,7,JUL,541.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,LAGRICEL PF,7,JUL,341.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z1,A & E SERVICIOS MEDICOS S.A.C.,SOPHIPREN,7,JUL,254.0,6,Z1,LIMA,False,False,True,False
PHARMA - Z3,AAA SAC,DUSTALOX,1,ENE,1845.9,50,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,ELIPTIC PF,1,ENE,2612.8,50,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,TRAZIDEX U,1,ENE,4675.5,100,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,ZEBESTEN,1,ENE,2454.38,50,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,ELIPTIC PF,2,FEB,5225.6,100,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,FLUMETOL NF,2,FEB,2041.75,50,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,LAGRICEL PF,2,FEB,5680.5,100,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,ZEBESTEN,2,FEB,2454.38,50,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,DUSTALOX,3,MAR,1845.9,50,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,LAGRICEL PF,3,MAR,5680.5,100,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,LANDAX,3,MAR,419.49,10,Z3,NORTE CHICO,False,False,True,False
PHARMA - Z3,AAA SAC,DUSTALOX,5,MAY,0.0,50,Z3,NORTE CHICO,False,False,True,True
PHARMA - Z3,AAA SAC,ELAR-B,5,MAY,518.0,10,Z3,NORTE CHICO,False,False,True,False
